name,status,oldPrerequisite,newPrerequisite,prerequisiteChanged,oldBenefit,newEffect,oldSummary,newSummary,sourceUrl
Maniacal Charge,updated,None,None,no,"Intimidate your enemies when Charging, preventing adjacent characters from making Attacks of Opportunity and denying your target its Dexterity bonus.","When using the Charge Action, you can make a Persuasion check as a Free Action to Intimidate your target and each enemy you pass within 1 square of. When your check succeeds against an enemy you pass, it cannot make an Attack of Opportunity against you. When your check succeeds against your target, it loses its Dexterity bonus and is considered Flat-Footed until the start of your next turn.","Intimidate your enemies when Charging, preventing adjacent characters from making Attacks of Opportunity and denying your target its Dexterity bonus.","Intimidate your enemies when Charging, preventing adjacent characters from making Attacks of Opportunity and denying your target its Dexterity bonus.",https://swse.fandom.com/wiki/Maniacal_Charge
Ion Shielding,updated,Droid with Strength 13 or Cyborg Hybrid with Constitution 13,(Droid and Strength 13) or (Cyborg Hybrid and Constitution 13),yes,Move only -1 step on Condition Track when Ion damage exceeds Damage Threshold.,"If the Ion damage (Before being halved) equals or exceeds your Damage Threshold, you move only -1 step on the Condition Track.",Move only -1 step on Condition Track when Ion damage exceeds Damage Threshold.,Move only -1 step on Condition Track when Ion damage exceeds Damage Threshold.,https://swse.fandom.com/wiki/Ion_Shielding
Quick Draw,updated,Base Attack Bonus +1,Base Attack Bonus +1,no,Draw weapon as a Swift Action.,You can Draw or Holster a Weapon as a Swift Action instead of a Move Action.,Draw weapon as a Swift Action.,Draw weapon as a Swift Action.,https://swse.fandom.com/wiki/Quick_Draw
Duck and Cover,updated,Trained in Stealth,Trained in Stealth,no,You dive for Cover when you avoid Area Attacks.,"Whenever you are the target of an Area Attack that misses, once per turn you can Move 2 squares as a Reaction. This movement does not provoke Attacks of Opportunity.",You dive for Cover when you avoid Area Attacks.,You dive for Cover when you avoid Area Attacks.,https://swse.fandom.com/wiki/Duck_and_Cover
Force Focus,db_only_not_updated,Trained in Use the Force,Trained in Use the Force,no,You gain a +2 bonus on Use the Force checks made to activate a specific Force power you select when taking this feat.,You gain a +2 bonus on Use the Force checks made to activate a specific Force power you select when taking this feat.,You gain a +2 bonus on Use the Force checks made to activate a specific Force power you select when taking this feat.,You gain a +2 bonus on Use the Force checks made to activate a specific Force power you select when taking this feat.,
Dodge,updated,Dexterity 13,Dexterity 13,no,Gain a +1 dodge bonus to Reflex Defense against a selected target.,"During your turn, you designate an opponent and receive a +1 dodge bonus to your Reflex Defense against attacks from that opponent. You can select a new opponent on any action. A situation that makes you lose your Dexterity bonus to Reflex Defense (if any) also makes you lose dodge bonuses. Also, dodge bonuses stack with each other, unlike most other types of bonuses.",Gain a +1 dodge bonus to Reflex Defense against a selected target.,Gain a +1 dodge bonus to Reflex Defense against a selected target.,https://swse.fandom.com/wiki/Dodge
Opportunistic Shooter,updated,None,None,no,Gain a bonus to Attacks of Opportunity with ranged weapons.,You gain a +2 bonus on Attacks of Opportunity with ranged weapons.,Gain a bonus to Attacks of Opportunity with ranged weapons.,Gain a bonus to Attacks of Opportunity with ranged weapons.,https://swse.fandom.com/wiki/Opportunistic_Shooter
Forceful Grip,db_only_not_updated,"Trained in Use the Force, Force Grip","Trained in Use the Force, Force Grip",no,You gain a +2 bonus on Use the Force checks made to activate Force Grip.,You gain a +2 bonus on Use the Force checks made to activate Force Grip.,You gain a +2 bonus on Use the Force checks made to activate Force Grip.,You gain a +2 bonus on Use the Force checks made to activate Force Grip.,
Keen Scent,db_only_not_updated,Ewok,Ewok,no,Increase the range of your Scent ability by 20 squares.,Increase the range of your Scent ability by 20 squares.,Increase the range of your Scent ability by 20 squares.,Increase the range of your Scent ability by 20 squares.,
Grappling Strike,db_only_not_updated,Base attack bonus +6,Base attack bonus +6,no,"When you hit with a melee attack, you may initiate a grapple as a free action without provoking an attack of opportunity.","When you hit with a melee attack, you may initiate a grapple as a free action without provoking an attack of opportunity.","When you hit with a melee attack, you may initiate a grapple as a free action without provoking an attack of opportunity.","When you hit with a melee attack, you may initiate a grapple as a free action without provoking an attack of opportunity.",
Separatist Military Training,updated,None,None,no,Gain a +1 bonus on an attack roll while adjacent to an ally.,"While you are adjacent to at least one of your allies, you gain a +1 circumstance bonus on any one attack roll you make on your turn.",Gain a +1 bonus on an attack roll while adjacent to an ally.,Gain a +1 bonus on an attack roll while adjacent to an ally.,https://swse.fandom.com/wiki/Separatist_Military_Training
Stay Up,updated,Trained in Endurance,Trained in Endurance,no,Move 1 step down Condition Track to reduce damage.,"Once per encounter, when you would normally take damage from an attack, you can instead choose to take half damage and move -1 step along the Condition Track.",Move 1 step down Condition Track to reduce damage.,Move 1 step down Condition Track to reduce damage.,https://swse.fandom.com/wiki/Stay_Up
Pinpoint Accuracy,updated,"Droid, Aiming Accuracy, Point-Blank Shot, Precise Shot","Droid, Aiming Accuracy, Point-Blank Shot, Precise Shot",no,Move target -1 step on the Condition Track when you hit with Aiming Accuracy.,"When using the Aiming Accuracy Feat, a target you damage cannot take the Recover Action until the end of its next turn.",Move target -1 step on the Condition Track when you hit with Aiming Accuracy.,Move target -1 step on the Condition Track when you hit with Aiming Accuracy.,https://swse.fandom.com/wiki/Pinpoint_Accuracy
Resurgent Vitality,db_only_not_updated,Wookiee,Wookiee,no,Gain additional Hit Points when catching a Second Wind.,Gain additional Hit Points when catching a Second Wind.,Gain additional Hit Points when catching a Second Wind.,Gain additional Hit Points when catching a Second Wind.,
Rapid Assault,updated,"Double Attack or Dual Weapon Mastery I, Base Attack Bonus +6","Double Attack or Dual Weapon Mastery I, Base Attack Bonus +6",no,"Through focus and raw determination, you can make multiple attacks even after moving.","If you are wielding two weapons or a weapon with which you can use the Double Attack feat, you may spend a Force Point to make two attacks as a Standard Action.

The normal penalties due to attacking with two weapons or using Double Attack still apply, and you cannot make more than two attacks regardless of how many extra attacks you can make during a Full Attack Action.","Through focus and raw determination, you can make multiple attacks even after moving.","Through focus and raw determination, you can make multiple attacks even after moving.",https://swse.fandom.com/wiki/Rapid_Assault
Collateral Damage,updated,"Rapid Shot, Base Attack Bonus +6","Rapid Shot, Base Attack Bonus +6",no,Gain extra attack upon hitting the first target.,"When you deal damage with a single, non- Area Attack using the Rapid Shot Feat, once per turn on your turn, you can immediately make a second attack at a -2 penalty against a second target within 2 squares of the first. If this attack hits, you deal half the original attack's damage to that target.",Gain extra attack upon hitting the first target.,Gain extra attack upon hitting the first target.,https://swse.fandom.com/wiki/Collateral_Damage
Running Attack,updated,Dexterity 13,Dexterity 13,no,Move before and after making an attack.,"When making an attack with a melee or ranged weapon, you can move both before and after the attack, provided that the total distance moved is not greater than your Speed.",Move before and after making an attack.,Move before and after making an attack.,https://swse.fandom.com/wiki/Running_Attack
Anointed Hunter,updated,Nelvaanian,Nelvaanian,no,Move 2 or more squares and gain a +1 bonus on attacks with Thrown Weapons until the end of your turn.,"If you end your Move at least 2 squares from where you started, you gain a +1 competence bonus on attacks made with Thrown Weapons until the end of your turn.",Move 2 or more squares and gain a +1 bonus on attacks with Thrown Weapons until the end of your turn.,Move 2 or more squares and gain a +1 bonus on attacks with Thrown Weapons until the end of your turn.,https://swse.fandom.com/wiki/Anointed_Hunter
Extra Second Wind,updated,Trained in Endurance,Trained in Endurance,no,Gain an additional Second Wind per day.,"You can catch your Second Wind one additional time per day, but you can still only catch a Second Wind once per encounter.",Gain an additional Second Wind per day.,Gain an additional Second Wind per day.,https://swse.fandom.com/wiki/Extra_Second_Wind
Delay Damage,db_only_not_updated,Con 13,Con 13,no,"Once per encounter, you may delay the effects of damage taken until the end of your next turn.","Once per encounter, you may delay the effects of damage taken until the end of your next turn.","Once per encounter, you may delay the effects of damage taken until the end of your next turn.","Once per encounter, you may delay the effects of damage taken until the end of your next turn.",
Blaster Barrage,updated,Coordinated Attack,Coordinated Attack,no,Automatically Aid Another when using Autofire attacks.,"When you make an attack with a weapon set on Autofire that deals damage to at least one target within the designated area, you grant a +2 circumstance bonus on any of your allies' Autofire attacks made against that same target until the beginning of your next turn.",Automatically Aid Another when using Autofire attacks.,Automatically Aid Another when using Autofire attacks.,https://swse.fandom.com/wiki/Blaster_Barrage
Opportunistic Retreat,updated,Combat Reflexes,Combat Reflexes,no,Sacrifice Attack of Opportunity to move at half speed.,"Whenever an opponent provokes an Attack of Opportunity from you, once per turn you can sacrifice the attack to move a number of squares equal to one-half your Speed. Moving in this way does not provoke Attacks of Opportunity.",Sacrifice Attack of Opportunity to move at half speed.,Sacrifice Attack of Opportunity to move at half speed.,https://swse.fandom.com/wiki/Opportunistic_Retreat
Stand Tall,updated,None,None,no,"When you take damage, nearby allies attack your attacker.","Once per encounter when you take damage, all allies who are within 6 squares of you and within your line of sight can, as a Reaction, make a single attack on the target that damaged you.","When you take damage, nearby allies attack your attacker.","When you take damage, nearby allies attack your attacker.",https://swse.fandom.com/wiki/Stand_Tall
Sith Military Training,updated,None,None,no,"Upon debilitating an opponent, you can cause other opponents to lose heart.","Once per encounter, as a Reaction when you reduce a target to 0 Hit Points or deal damage that exceeds the target's Damage Threshold, you can activate this Feat to cause all enemies within 6 squares of that target to take a -2 penalty to all Defenses until the end of your next turn. This is a Mind-Affecting effect.","Upon debilitating an opponent, you can cause other opponents to lose heart.","Upon debilitating an opponent, you can cause other opponents to lose heart.",https://swse.fandom.com/wiki/Sith_Military_Training
Attack Combo (Fire and Strike),updated,"Attack Combo (Melee), Attack Combo (Ranged), Base Attack Bonus +9","Attack Combo (Melee), Attack Combo (Ranged), Base Attack Bonus +9",no,"Deal +1 die of damage on Unarmed, melee, or ranged attacks until the end of your next turn after hitting an enemy with two Unarmed, melee, or ranged attacks.","If you hit a single target with two consecutive ranged, melee, and/or Unarmed attacks during the same turn, any additional ranged, melee, or Unarmed attacks you make until the end of your next turn (including Attacks of Opportunity and attacks made as Reactions) deal +1 die of damage on a hit. This extra damage stacks with extra damage granted by other Feats or Talents.","Deal +1 die of damage on Unarmed, melee, or ranged attacks until the end of your next turn after hitting an enemy with two Unarmed, melee, or ranged attacks.","Deal +1 die of damage on Unarmed, melee, or ranged attacks until the end of your next turn after hitting an enemy with two Unarmed, melee, or ranged attacks.",https://swse.fandom.com/wiki/Attack_Combo_(Fire_and_Strike)
Force Boon,updated,Force Sensitivity,Force Sensitivity,no,Gain three additional Force Points at each level.,You gain three additional Force Points at each level.,Gain three additional Force Points at each level.,Gain three additional Force Points at each level.,https://swse.fandom.com/wiki/Force_Boon
Unwavering Resolve,updated,Trained in Perception,Trained in Perception,no,Gain a +5 bonus to Will Defense against Deception and Persuasion checks.,You gain a +5 insight bonus to Will Defense against Deception and Persuasion checks.,Gain a +5 bonus to Will Defense against Deception and Persuasion checks.,Gain a +5 bonus to Will Defense against Deception and Persuasion checks.,https://swse.fandom.com/wiki/Unwavering_Resolve
Headstrong,db_only_not_updated,,,no,You gain a +2 bonus on Will Defense against fear effects and may reroll a failed Will Defense check once per encounter.,You gain a +2 bonus on Will Defense against fear effects and may reroll a failed Will Defense check once per encounter.,You gain a +2 bonus on Will Defense against fear effects and may reroll a failed Will Defense check once per encounter.,You gain a +2 bonus on Will Defense against fear effects and may reroll a failed Will Defense check once per encounter.,
Recurring Success,updated,None,None,no,Gain extra use of a 1/encounter Talent or Feat.,"When you select this Feat, choose one Talent or Feat that can normally be used once per encounter. You can use that Talent or Feat one additional time per encounter.",Gain extra use of a 1/encounter Talent or Feat.,Gain extra use of a 1/encounter Talent or Feat.,https://swse.fandom.com/wiki/Recurring_Success
Aquatic Specialists,db_only_not_updated,Trained in Swim,Trained in Swim,no,Gain bonuses on Swim checks when near allies.,Gain bonuses on Swim checks when near allies.,Gain bonuses on Swim checks when near allies.,Gain bonuses on Swim checks when near allies.,
Sniper,updated,"Point-Blank Shot, Precise Shot, Base Attack Bonus +4","Point-Blank Shot, Precise Shot, Base Attack Bonus +4",no,You ignore Soft Cover when making a ranged attack.,"You always ignore Soft Cover (that is, Cover provided by a character, creature, or Droid) when you make a ranged attack.",You ignore Soft Cover when making a ranged attack.,You ignore Soft Cover when making a ranged attack.,https://swse.fandom.com/wiki/Sniper
Improved Grapple,db_only_not_updated,"Int 13, Grapple","Int 13, Grapple",no,You gain a +5 bonus on grapple checks and do not provoke attacks of opportunity when initiating a grapple.,You gain a +5 bonus on grapple checks and do not provoke attacks of opportunity when initiating a grapple.,You gain a +5 bonus on grapple checks and do not provoke attacks of opportunity when initiating a grapple.,You gain a +5 bonus on grapple checks and do not provoke attacks of opportunity when initiating a grapple.,
Improved Sleight of Hand,updated,"Dexterity 15, Skill Focus (Deception), Trained in Stealth","Dexterity 15, Skill Focus (Deception), Trained in Stealth",no,Use Deception to aid your Stealth check to use Sleight of Hand; use Stealth to draw and palm a weapon simultaneously.,"When using the Sleight of Hand application of the Stealth Skill, you can use your Deception Skill to improve your chances of success. Prior to making the Stealth check, you can make a Deception check as a Swift Action. The opposed Perception check of anyone attempting to notice your action must exceed both your Deception check and your Stealth check.

Additionally, you can, as a single Action, use Improved Sleight of Hand to simultaneously draw and palm a weapon two sizes smaller than you. Make a Stealth check as a Free Action when drawing your weapon to successfully conceal it in a position in your hand (Or similar appendage), where you can use it on a following Action. Once the weapon is used, you can attempt to palm it again as a Swift Action.",Use Deception to aid your Stealth check to use Sleight of Hand; use Stealth to draw and palm a weapon simultaneously.,Use Deception to aid your Stealth check to use Sleight of Hand; use Stealth to draw and palm a weapon simultaneously.,https://swse.fandom.com/wiki/Improved_Sleight_of_Hand
Leader of Droids,updated,None,None,no,Allied Droids benefit from your beneficial Mind-Affecting effects.,"Whenever you provide a beneficial, Mind-Affecting effect to your allies, you may select from among these allies a number of Droids equal to your Intelligence modifier (minimum 1). The Droids you designate ignore their Mind-Affecting immunity with regards to this effect, provided they are willing to ignore this immunity.",Allied Droids benefit from your beneficial Mind-Affecting effects.,Allied Droids benefit from your beneficial Mind-Affecting effects.,https://swse.fandom.com/wiki/Leader_of_Droids
Perfect Intuition,db_only_not_updated,Cerean,Cerean,no,"Reroll Initiative checks, always keeping the better result.","Reroll Initiative checks, always keeping the better result.","Reroll Initiative checks, always keeping the better result.","Reroll Initiative checks, always keeping the better result.",
Linguist,updated,Intelligence 13,Intelligence 13,no,Gain bonus Languages equal to 1 + your Intelligence modifier (minimum 1).,You gain a number of additional Languages equal to 1 + your Intelligence modifier (Minimum 1).,Gain bonus Languages equal to 1 + your Intelligence modifier (minimum 1).,Gain bonus Languages equal to 1 + your Intelligence modifier (minimum 1).,https://swse.fandom.com/wiki/Linguist
Recovering Surge,updated,None,None,no,Move up the Condition Track when you catch a Second Wind.,"When you catch a Second Wind, you move +1 step on the Condition Track.",Move up the Condition Track when you catch a Second Wind.,Move up the Condition Track when you catch a Second Wind.,https://swse.fandom.com/wiki/Recovering_Surge
Martial Arts II,updated,"Martial Arts I, Base Attack Bonus +3","Martial Arts I, Base Attack Bonus +3.",no,Increases damage from Unarmed attacks by one die step; gain +1 bonus to Reflex Defense.,"Damage dealt by your Unarmed attacks increases by one die step. In addition, you gain a +1 dodge bonus to your Reflex Defense (Which stacks with the dodge bonus granted by the Martial Arts I Feat).",Increases damage from Unarmed attacks by one die step; gain +1 bonus to Reflex Defense.,Increases damage from Unarmed attacks by one die step; gain +1 bonus to Reflex Defense.,https://swse.fandom.com/wiki/Martial_Arts_II
Wicked Strike,updated,Rapid Strike,Rapid Strike,no,Gain extra attack on a second target upon damaging the first target.,"When you damage a target with a single, non- Area Attack using the Rapid Strike Feat, once per turn on your turn, you can immediately make a second attack at a -2 penalty against a second target within your reach. If this attack hits, you deal half of the original attack's damage to that target.",Gain extra attack on a second target upon damaging the first target.,Gain extra attack on a second target upon damaging the first target.,https://swse.fandom.com/wiki/Wicked_Strike
Educated,db_only_not_updated,,,no,Choose two Knowledge skills. You gain a +5 bonus on checks with those skills.,Choose two Knowledge skills. You gain a +5 bonus on checks with those skills.,Choose two Knowledge skills.,Choose two Knowledge skills.,
Droid Hunter,updated,None,None,no,"Deal +2 damage to Droid enemies, or +4 when using an Ion Weapon.","While wielding a weapon with which you are proficient, you gain a +2 bonus on damage rolls against Droid enemies, or +4 if you are using a weapon that deals Ion Damage.","Deal +2 damage to Droid enemies, or +4 when using an Ion Weapon.","Deal +2 damage to Droid enemies, or +4 when using an Ion Weapon.",https://swse.fandom.com/wiki/Droid_Hunter
Experienced Medic,updated,Trained in Treat Injury,Trained in Treat Injury,no,Perform Surgery on multiple creatures simultaneously.,You can perform Surgery on a number of creatures equal to your Intelligence modifier (minimum 2) simultaneously. You make Treat Injury checks for each individual creature as normal.,Perform Surgery on multiple creatures simultaneously.,Perform Surgery on multiple creatures simultaneously.,https://swse.fandom.com/wiki/Experienced_Medic
Vehicular Surge,updated,Trained in Pilot,Trained in Pilot,no,"Once per day, gain Bonus Hit Points for a Vehicle you Pilot.","If the Vehicle you Pilot is Colossal or smaller and is reduced to fewer than one-half its maximum Hit Points, once per day as a Swift Action your Vehicle gains a number of Bonus Hit Points equal to one-quarter its maximum Hit Point total. Damage is subtracted from Bonus Hit Points first, and any Bonus Hit Points remaining at the end of the encounter are lost. Bonus Hit Points do not stack.","Once per day, gain Bonus Hit Points for a Vehicle you Pilot.","Once per day, gain Bonus Hit Points for a Vehicle you Pilot.",https://swse.fandom.com/wiki/Vehicular_Surge
Attack Combo (Melee),updated,Base Attack Bonus +3,Base Attack Bonus +3,no,Deal +1 die of damage on Unarmed or melee attacks until the end of your next turn after hitting an enemy with two Unarmed or melee attacks.,"If you hit a single target with two consecutive melee and/or Unarmed attacks during the same turn, any additional melee or Unarmed attacks you make until the end of your next turn (including Attacks of Opportunity and attacks made as Reactions) deal +1 die of damage on a hit. This extra damage stacks with extra damage granted by other Feats or Talents.",Deal +1 die of damage on Unarmed or melee attacks until the end of your next turn after hitting an enemy with two Unarmed or melee attacks.,Deal +1 die of damage on Unarmed or melee attacks until the end of your next turn after hitting an enemy with two Unarmed or melee attacks.,https://swse.fandom.com/wiki/Attack_Combo_(Melee)
Whirlwind Attack,updated,"Dexterity 13, Intelligence 13, Melee Defense, Base Attack Bonus +4","Dexterity 13, Intelligence 13, Melee Defense, Base Attack Bonus +4",no,Make one melee attack against each opponent within reach.,"As a Full-Round Action, you can make an Area Attack with your melee weapon, striking every target within your reach. This Whirlwind Attack uses the Area Attack rules; you make one attack roll and apply the result to every target in range.",Make one melee attack against each opponent within reach.,Make one melee attack against each opponent within reach.,https://swse.fandom.com/wiki/Whirlwind_Attack
Nikto Survival,updated,Nikto,Nikto,no,Reroll Survival checks in native environment.,"Select a Nikto subspecies: Kajain'sa'Nikto (Desert), Kadas'sa'Nikto (Forest), Esral'sa'Nikto (Mountains), Gluss'sa'Nikto (Ocean), M'shento'su,Nikto (Arctic). In addition to the usual Nikto Species Traits, when operating in an environment advantageous to your native subspecies, you can reroll any Survival check, taking the better result.",Reroll Survival checks in native environment.,Reroll Survival checks in native environment.,https://swse.fandom.com/wiki/Nikto_Survival
Knife Trick,updated,"Lightning Draw, Quick Draw, Trained in Stealth","Lightning Draw, Quick Draw, Trained in Stealth",no,Attack of Opportunity with concealed weapon to greater effect.,"If you have a concealed weapon, you Threaten squares as though armed with a melee weapon. When you can make an Attack of Opportunity, you can draw a weapon you have successfully concealed on your person and make a single attack against the target.

If you choose not to draw your concealed weapon and attack with it, you cannot make the Attack of Opportunity unless you would otherwise normally be able to do so.",Attack of Opportunity with concealed weapon to greater effect.,Attack of Opportunity with concealed weapon to greater effect.,https://swse.fandom.com/wiki/Knife_Trick
Forceful Recovery,updated,"Force Sensitivity, Force Training","Force Sensitivity, Force Training",no,Regain one Force Power when you catch a Second Wind.,"Whenever you catch a Second Wind, choose one expended Force Power and return that power to your Force Power Suite.",Regain one Force Power when you catch a Second Wind.,Regain one Force Power when you catch a Second Wind.,https://swse.fandom.com/wiki/Forceful_Recovery
Careful Shot,updated,"Point-Blank Shot, Base Attack Bonus +2","Point-Blank Shot Feat, Base Attack Bonus +2",no,"If you Aim, gain +1 bonus on the attack roll.","If you Aim before making a ranged attack, you gain a +1 bonus on your attack roll.","If you Aim, gain +1 bonus on the attack roll.","If you Aim, gain +1 bonus on the attack roll.",https://swse.fandom.com/wiki/Careful_Shot
Flood of Fire,updated,None,None,no,Ignore enemies' dodge and deflection bonus to Reflex Defense when making Area Attacks with a weapon set on Autofire.,"When you make an Area Attack with a weapon set on Autofire, and you are proficient with that weapon, all targets in the area lose all dodge or deflection bonuses to Reflex Defense against the Autofire attack.",Ignore enemies' dodge and deflection bonus to Reflex Defense when making Area Attacks with a weapon set on Autofire.,Ignore enemies' dodge and deflection bonus to Reflex Defense when making Area Attacks with a weapon set on Autofire.,https://swse.fandom.com/wiki/Flood_of_Fire
Turn and Burn,updated,"Droid with Hovering, Flying, Wheeled, or Tracked Locomotion; Dexterity 13","Droid; Hovering, Flying, Wheeled, or Tracked Locomotion; Dexterity 13",yes,"Withdraw by clearing threatened squares in up to 2 squares of movement, move your Speed when using the Withdraw Action. Withdraw as a Reaction by spending a Force Point.","When using the Withdraw Action, you can move up to 2 squares to escape Threatened squares without provoking an Attack of Opportunity, and you can move your Speed. You can spend a Force Point as a Reaction to an enemy ending its movement adjacent to you to Withdraw.","Withdraw by clearing threatened squares in up to 2 squares of movement, move your Speed when using the Withdraw Action.","Withdraw by clearing threatened squares in up to 2 squares of movement, move your Speed when using the Withdraw Action. Withdraw as a Reaction by spending a Force Point.",https://swse.fandom.com/wiki/Turn_and_Burn
Impulsive Flight,updated,None,None,no,Withdraw faster.,You can Withdraw one extra square using the Withdraw Action.,Withdraw faster.,Withdraw faster.,https://swse.fandom.com/wiki/Impulsive_Flight
Resolute Stance,updated,Base Attack Bonus +1,Base Attack Bonus +1,no,Gain +2 or +5 to Will Defense when you Fight Defensively.,"When you Fight Defensively, you gain a +2 morale bonus to your Will Defense. If you make no attacks until your next turn, you gain a +5 morale bonus to your Will Defense until the start of your next turn.",Gain +2 or +5 to Will Defense when you Fight Defensively.,Gain +2 or +5 to Will Defense when you Fight Defensively.,https://swse.fandom.com/wiki/Resolute_Stance
Swarm,updated,Coordinated Attack,Coordinated Attack,no,Gain +1 bonus on melee attack rolls when allies are adjacent.,You gain a +1 circumstance bonus on melee attack rolls for each allied character adjacent to your target.,Gain +1 bonus on melee attack rolls when allies are adjacent.,Gain +1 bonus on melee attack rolls when allies are adjacent.,https://swse.fandom.com/wiki/Swarm
Keen Force Mind,db_only_not_updated,Trained in Use the Force,Trained in Use the Force,no,You gain a +2 bonus on Use the Force checks made to activate mind-affecting Force powers.,You gain a +2 bonus on Use the Force checks made to activate mind-affecting Force powers.,You gain a +2 bonus on Use the Force checks made to activate mind-affecting Force powers.,You gain a +2 bonus on Use the Force checks made to activate mind-affecting Force powers.,
Triple Attack,updated,"Base Attack Bonus +11, Double Attack (Chosen Weapon)","Base Attack Bonus +11, Double Attack (Chosen Weapon)",no,"Make second extra attack with chosen weapon during Full Attack, additional -5 penalty to all attacks.","Choose a single Exotic Weapon or weapon group. When you use the Full Attack Action, you may make one additional attack when wielding such a Weapon. However, you take a -5 penalty on all attack rolls until your next turn because you're trading precision for speed. The extra attack and penalty stack with those of Double Attack.","Make second extra attack with chosen weapon during Full Attack, additional -5 penalty to all attacks.","Make second extra attack with chosen weapon during Full Attack, additional -5 penalty to all attacks.",https://swse.fandom.com/wiki/Triple_Attack
Distracting Droid,updated,Droid,Droid,no,"Attempt to deny enemies within 6 squares their next Move Action, with a chance to make enemies Flat-Footed.","As a Standard Action, make a Persuasion check against the Will Defense of all enemies that are within 6 squares of you and that can see or hear you, as determined by the Gamemaster. If the check equals or exceeds an enemy's Will Defense, the enemy loses one Move Action on its next turn. If the attack exceeds an enemy's Will Defense by 10 or more, the enemy is also Flat-Footed until the start of your next turn. This is a Mind-Affecting effect.","Attempt to deny enemies within 6 squares their next Move Action, with a chance to make enemies Flat-Footed.","Attempt to deny enemies within 6 squares their next Move Action, with a chance to make enemies Flat-Footed.",https://swse.fandom.com/wiki/Distracting_Droid
Forceful Slam,db_only_not_updated,"Trained in Use the Force, Force Slam","Trained in Use the Force, Force Slam",no,You gain a +2 bonus on Use the Force checks made to activate Force Slam.,You gain a +2 bonus on Use the Force checks made to activate Force Slam.,You gain a +2 bonus on Use the Force checks made to activate Force Slam.,You gain a +2 bonus on Use the Force checks made to activate Force Slam.,
Mandalorian Training,updated,Charging Fire,Charging Fire,no,Gain a +2 bonus on attack rolls when using the Charging Fire feat.,"When using the Charging Fire Feat, you gain a +2 bonus to a ranged attack made at the end of a Charge. As with a normal Charge, you still take a -2 penalty to your Reflex Defense, but you also gain a +2 morale bonus to your Will Defense until the beginning of your next turn.",Gain a +2 bonus on attack rolls when using the Charging Fire feat.,Gain a +2 bonus on attack rolls when using the Charging Fire feat.,https://swse.fandom.com/wiki/Mandalorian_Training
Demoralizing Strike,updated,Charisma 13,Charisma 13,no,Make an Intimidation check when you deal damage with an Attack of Opportunity.,"When you successfully deal damage to an opponent with an Attack of Opportunity, you can immediately make a Persuasion check to Intimidate the opponent as a Free Action.",Make an Intimidation check when you deal damage with an Attack of Opportunity.,Make an Intimidation check when you deal damage with an Attack of Opportunity.,https://swse.fandom.com/wiki/Demoralizing_Strike
Tae-Jitsu Training,db_only_not_updated,"Dodge, Martial Arts I, Trained in Initiative","Dodge, Martial Arts I, Trained in Initiative",no,Deal more damage on critical hits. Use Dodge against enemies.,Deal more damage on critical hits. Use Dodge against enemies.,Deal more damage on critical hits.,Deal more damage on critical hits.,
Elder's Knowledge,updated,Skill Focus (Knowledge (Social Sciences)) or Skill Focus (Knowledge (Galactic Lore)),Skill Focus (Knowledge (Galactic Lore)) or Skill Focus (Knowledge (Social Sciences)),yes,Substitute a Knowledge (Social Sciences) or Knowledge (Galactic Lore) skill check for a Wisdom-related Skill Check.,"Once per encounter, you can substitute a Knowledge (Galactic Lore) or Knowledge (Social Sciences) check for a Wisdom or Wisdom -related check.",Substitute a Knowledge (Social Sciences) or Knowledge (Galactic Lore) skill check for a Wisdom-related Skill Check.,Substitute a Knowledge (Social Sciences) or Knowledge (Galactic Lore) skill check for a Wisdom -related Skill Check.,https://swse.fandom.com/wiki/Elder's_Knowledge
Scavenger,updated,None,None,no,Gather materials for building objects,"You can spend 1 hour scavenging materials from other Vehicles or objects. When you do so, you make a Perception check to determine the value of the parts scavenged. You produce raw materials equal in value to the result of your Perception check x 30 credits. You must apply these raw materials toward the cost of construction of a single object (see Build Object), and you can scavenge parts for only a single object at any given time. Additionally, you can scavenge raw materials only once for any given object you are attempting to build.",Gather materials for building objects.,Gather materials for building objects,https://swse.fandom.com/wiki/Scavenger
Trustworthy,db_only_not_updated,,,no,You gain a +2 bonus on Persuasion checks and may reroll a failed Persuasion check once per encounter.,You gain a +2 bonus on Persuasion checks and may reroll a failed Persuasion check once per encounter.,You gain a +2 bonus on Persuasion checks and may reroll a failed Persuasion check once per encounter.,You gain a +2 bonus on Persuasion checks and may reroll a failed Persuasion check once per encounter.,
Hijkata Training,db_only_not_updated,"Combat Reflexes, Martial Arts I","Combat Reflexes, Martial Arts I",no,Make counterattacks. Impose penalties to enemy attacks.,Make counterattacks. Impose penalties to enemy attacks.,Make counterattacks.,Make counterattacks.,
Crossfire,updated,"Point-Blank Shot, Precise Shot, Base Attack Bonus +6","Point-Blank Shot, Precise Shot, Base Attack Bonus +6",no,Redirect missed attacks against Soft Cover.,"If you miss when making a ranged attack against a target that has Soft Cover (that is, Cover provided by another character, creature, or Droid), you can immediately make an attack roll (with the same weapon and at the same attack bonus) against the target that is providing the Soft Cover. You can only use this Feat once per round.",Redirect missed attacks against Soft Cover.,Redirect missed attacks against Soft Cover.,https://swse.fandom.com/wiki/Crossfire
