Name,Category,Domain,Size,Type,Confidence,Notes
"Veltiss-2 Airspeeder","speeder","planetary","huge","Speeder","High",""
"Droid Tri-Fighter","starfighter","starship","gargantuan","Vehicle","High",""
"Theta-Class Shuttle","transport","starship","gargantuan","Vehicle","High",""
"Centurion-Class Battlecruiser","capitalShip","starship","large","Vehicle","High",""
"Baronial-Class Yacht","transport","starship","gargantuan","Vehicle","High",""
"TIE Prototype","REVIEW_REQUIRED","?","huge","Vehicle","Low","Manual review"
"Sabertooth-Class Assault/Rescue Vessel","REVIEW_REQUIRED","?","large","Vehicle","Low","Manual review"
"Endurance-Class Fleet Carrier","REVIEW_REQUIRED","?","large","Vehicle","Low","Manual review"
"Baudo-Class Star Yacht","transport","starship","huge","Vehicle","High",""
"Sith Infiltrator","REVIEW_REQUIRED","?","huge","Vehicle","Low","Manual review"
"KT-400 Military Droid Carrier","REVIEW_REQUIRED","?","gargantuan","Vehicle","Low","Manual review"
"Lambda-Class Shuttle","transport","starship","gargantuan","Vehicle","High",""
"Aurek Tactical Strikefighter","starfighter","starship","gargantuan","Vehicle","High",""
"YKL-37R Nova Courier","REVIEW_REQUIRED","?","gargantuan","Vehicle","Low","Manual review"
"AT-RT","REVIEW_REQUIRED","?","huge","Vehicle","Low","Manual review"
"J-Type Star Skiff","REVIEW_REQUIRED","?","colossal","Vehicle","Low","Manual review"
"UT-AT","REVIEW_REQUIRED","?","colossal","Vehicle","Low","Manual review"
